,City,State
0,New York, New York
1,Los Angeles, California
2,Chicago, Illinois
3,Houston, Texas
4,Phoenix, Arizona
5,Philadelphia, Pennsylvania
6,San Antonio, Texas
7,San Diego, California
8,Dallas, Texas
9,San Jose, California
10,Austin, Texas
11,Jacksonville, Florida
12,Fort Worth, Texas
13,Columbus, Ohio
14,Indianapolis, Indiana
15,Charlotte, North Carolina
16,San Francisco, California
17,Seattle, Washington
18,Denver, Colorado
19,Washington, DC
20,Nashville-Davidson, Tennessee1
21,Oklahoma City, Oklahoma
22,El Paso, Texas
23,Boston, Massachusetts
24,Portland, Oregon
25,Las Vegas, Nevada
26,Detroit, Michigan
27,Memphis, Tennessee
28,Louisville-Jefferson County, Kentucky2
29,Baltimore, Maryland
30,Milwaukee, Wisconsin
31,Albuquerque, N.M.
32,Tucson, Arizona
33,Fresno, California
34,Sacramento, California
35,Kansas City, Missouri
36,Mesa, Arizona
37,Atlanta, Georgia
38,Omaha, Nebraska
39,Colorado Springs, Colorado
40,Raleigh, North Carolina
41,Long Beach, California
42,Virginia Beach, Virginia
43,Miami, Florida
44,Oakland, California
45,Minneapolis, Minnesota
46,Tulsa, Oklahoma
47,Bakersfield, California
48,Wichita, Kansas
49,Arlington, Texas
