,RANK,CITY,2010 Census,2000 Census,1990 Census
0,1,"New York, New York",8175133,8008278,7322564
1,2,"Los Angeles, California",3792621,3694820,3485398
2,3,"Chicago, Illinois",2695598,2896016,2783726
3,4,"Houston, Texas",2100263,1953631,1630553
4,5,"Phoenix, Arizona",1445632,1321045,983403
5,6,"Philadelphia, Pennsylvania",1526006,1517550,1585577
6,7,"San Antonio, Texas",1327407,1144646,935933
7,8,"San Diego, California",1307402,1223400,1110549
8,9,"Dallas, Texas",1197816,1188580,1006877
9,10,"San Jose, California",945942,894943,782248
10,11,"Austin, Texas",790390,656562,465622
11,12,"Jacksonville, Florida",821784,735617,635230
12,13,"Fort Worth, Texas",741206,534694,447619
13,14,"Columbus, Ohio",787033,711470,632910
14,15,"Indianapolis, Indiana",820445,781870,741952
15,16,"Charlotte, North Carolina",731424,540828,395934
16,17,"San Francisco, California",805235,776733,723959
17,18,"Seattle, Washington",608660,563374,516259
18,19,"Denver, Colorado",600158,554636,467610
19,20,"Washington, DC",601723,572059,606900
20,21,"Nashville-Davidson, Tennessee1",601222,545524,510784
21,22,"Oklahoma City, Oklahoma",579999,506132,444719
22,23,"El Paso, Texas",649121,563662,515342
23,24,"Boston, Massachusetts",617594,589141,574283
24,25,"Portland, Oregon",583776,529121,437319
25,26,"Las Vegas, Nevada",583756,478434,258295
26,27,"Detroit, Michigan",713777,951270,1027974
27,28,"Memphis, Tennessee",646889,650100,610337
28,29,"Louisville-Jefferson County, Kentucky2",597337,256231,269063
29,30,"Baltimore, Maryland",620961,651154,736014
30,31,"Milwaukee, Wisconsin",594833,596974,628088
31,32,"Albuquerque, N.M.",545852,448607,384736
32,33,"Tucson, Arizona",520116,486699,405390
33,34,"Fresno, California",494665,427652,354202
34,35,"Sacramento, California",466488,407018,369365
35,36,"Kansas City, Missouri",459787,441545,435146
36,37,"Mesa, Arizona",439041,396375,288091
37,38,"Atlanta, Georgia",420003,416474,394017
38,39,"Omaha, Nebraska",408958,409868,357807
39,40,"Colorado Springs, Colorado",416427,360890,281140
40,41,"Raleigh, North Carolina",403892,276093,207951
41,42,"Long Beach, California",462257,461522,429433
42,43,"Virginia Beach, Virginia",437994,425257,393069
43,44,"Miami, Florida",399457,362470,358548
44,45,"Oakland, California",390724,399484,372242
45,46,"Minneapolis, Minnesota",382578,382618,368383
46,47,"Tulsa, Oklahoma",391906,393049,367302
47,48,"Bakersfield, California",347483,247057,183959
48,49,"Wichita, Kansas",382368,344284,308652
49,50,"Arlington, Texas",365438,332969,261721
